userID	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
2961295431		0.42	0.14	0.25	0.36	0.46	0.18	0.15	0.3	
715434592925270017		0.47	0.39	0.36	0.47	0.44	0.33	0.5	0.49	
711693653954015232		0.59	0.29	0.63	0.42	0.45	0.45	0.19	0.42	
4313704880		0.36	0.31	0.43	0.37	0.3	0.57	0.22	0.25	
784399151891095552		0.4	0.14	0.28	0.18	0.525	0.28	0.16	0.21	
4761064634		0.63	0.67	0.55	0.4	0.5	0.24	0.22	0.54	
769051888486604800		0.29	0.11	0.2	0.2	0.33	0.36	0.22	0.27	
2991880292		0.28	0.02	0.22	0.25	0.41	0.23	0.14	0.2	
4446067695		0.43	0.33	0.33	0.54	0.46	0.16	0.33	0.34	
770397637325496320		0.35	0.18	0.14	0.33	0.43	0.19	0.13	0.18	
3624928215		0.23	0.04	0.11	0.24	0.32	0.32	0.49	0.19	
430883587		0.43	0.42	0.42	0.34	0.53	0.47	0.29	0.34	
2160177936		0.42	0.33	0.31	0.1	0.42	0.23	0.43	0.43	
525847693		0.34	0.08	0.35	0.24	0.5	0.49	0.34	0.28	
787449090086952960		0.52	0.46	0.33	0.27	0.46	0.55	0.53	0.41	
42914466		0.33	0.16	0.29	0.1	0.4	0.294	0.1	0.37	
16055100		0.45	0.2	0.31	0.39	0.49	0.54	0.41	0.4	
787264867		0.32	0.08	0.34	0.25	0.41	0.43	0.33	0.32	
2988487643		0.42	0.26	0.49	0.48	0.51	0.42	0.27	0.44	
40325091		0.56	0.34	0.59	0.44	0.52	0.53	0.46	0.52	
17099193		0.25	0.2	0.38	0.47	0.29	0.25	0.19	0.19	
2847130953		0.39	0.58	0.39	0.17	0.49	0.25	0.31	0.46	
4881267029		0.37	0.16	0.17	0.34	0.47	0.36	0.1	0.31	
709085805613072384		0.4	0.48	0.24	0.33	0.48	0.58	0.18	0.25	
3308085366		0.5	0.46	0.34	0.61	0.51	0.56	0.22	0.32	
747944972175958016		0.36	0.28	0.3	0.62	0.48	0.35	0.26	0.31	
3974665634		0.4	0.38	0.32	0.4	0.43	0.26	0.34	0.38	
526282981		0.28	0.22	0.33	0.4	0.37	0.42	0.48	0.31	
568678633		0.36	0.11	0.38	0.22	0.29	0.22	0.3	0.26	
758429841972686848		0.36	0.29	0.55	0.2	0.42	0.59	0.31	0.33	
786987056874479617		0.28	0.12	0.18	0.24	0.51	0.39	0.21	0.17	
2540556841		0.17	0.14	0.31	0.27	0.45	0.27	0.2	0.18	
484801775		0.29	0.14	0.29	0.22	0.4	0.36	0.42	0.25	
759091893938499585		0.42	0.29	0.29	0.46	0.52	0.12	0.33	0.35	
715285869318373376		0.44	0.39	0.45	0.52	0.57	0.56	0.5	0.36	
2806458203		0.48	0.71	0.38	0.35	0.48	0.53	0.68	0.49	
2451418584		0.37	0.26	0.26	0.16	0.19	0.33	0.28	0.25	
19085578		0.26	0.05	0.18	0.56	0.41	0.16	0.06	0.25	
730865908575576064		0.34	0.1	0.24	0.54	0.28	0.1	0.3	0.34	
73128845		0.26	0.08	0.32	0.05	0.25	0.31	0.35	0.35	
785142669978636288		0.33	0.2	0.42	0.11	0.36	0.29	0.31	0.28	
264504352		0.35	0.14	0.41	0.19	0.37	0.31	0.38	0.32	
104561886		0.39	0.36	0.42	0.23	0.37	0.51	0.13	0.34	
41677388		0.33	0.2	0.14	0.43	0.62	0.29	0.19	0.22	
730865469062680577		0.36	0.41	0.48	0.5	0.5	0.42	0.77	0.42	
23067170		0.12	0.15	0.34	0.13	0.17	0.33	0.65	0.19	
1475528634		0.37	0.49	0.52	0.33	0.4	0.41	0.58	0.36	
18538801		0.44	0.19	0.44	0.32	0.5	0.62	0.24	0.31	
52775821		0.2	0.29	0.32	0.3	0.4	0.39	0.19	0.21	
309843766		0.32	0.28	0.26	0.27	0.41	0.39	0.26	0.27	
305982376		0.2	0.02	0.32	0.08	0.26	0.23	0.15	0.13	
32824532		0.32	0.2	0.3	0.23	0.46	0.32	0.09	0.22	
887666250		0.11	0.13	0.09	0.4	0.34	0.52	0.29	0.1	
1606441885		0.44	0.23	0.42	0.61	0.55	0.43	0.41	0.46	
182189367		0.21	0.05	0.19	0.03	0.18	0.13	0.35	0.19	
785667636474576896		0.33	0.26	0.22	0.32	0.49	0.36	0.12	0.33	
725064846056640512		0.32	0.2	0.36	0.44	0.43	0.37	0.39	0.37	
18583216		0.43	0.32	0.21	0.15	0.41	0.12	0.26	0.26	
